Customer,Segment,Primary_Rep,Net_Revenue,Total_Invoice_Revenue,Total_Credits,Num_Orders,Avg_Order_Value,Median_Order_Value,Total_Hats_Ordered,Avg_Hats_Per_Order,First_Order_Date,Last_Order_Date,Days_Since_Last_Order,Account_Age_Days,Avg_Days_Between_Orders,Monthly_Revenue,Monthly_Hats,Daily_Hat_Velocity,Days_To_50pct,Recommended_Visit_Days,Hard_Deadline_Days,Next_Visit_Date,Urgency
Templeton Feed and Grain,A - High Velocity,VIEGEAR,22508.0,22508.0,0.0,2,11254.0,11254.0,1896,948.0,2025-12-01,2025-12-15,53,67,14.0,10226.022686567165,861.4065671641791,67.71428571428571,1.5358649789029537,1.0,2.0,2025-12-16,OVERDUE
Town Pump (Employee Orders),A - High Velocity,Unassigned,15726.0,15726.0,0.0,67,234.71641791044777,200.0,1323,19.746268656716417,2025-12-10,2026-02-06,0,58,0.8787878787878788,8253.438620689656,694.3468965517242,22.469891919711785,4.628415676034724,4.0,5.0,2026-02-10,Urgent (< 2 weeks)
Mike's Market-Garden City,B - Steady Performers,Unassigned,23854.5,24180.0,-325.5,29,833.7931034482758,384.0,2035,70.17241379310344,2025-04-03,2026-01-22,15,309,10.5,2349.938446601942,200.47055016181233,6.683087027914614,15.561670761670761,12.0,16.0,2026-02-03,OVERDUE
Hoback Market,B - Steady Performers,Lamar Helm,15702.0,16008.0,-306.0,11,1455.2727272727273,1056.0,1349,122.63636363636364,2025-04-03,2026-01-20,17,309,29.2,1546.8248543689322,132.89177993527508,4.199875466998755,24.76263899184581,20.0,25.0,2026-02-09,Urgent (< 2 weeks)
Last Chance C Store - Island Park,B - Steady Performers,Lamar Helm,14592.0,15372.0,-780.0,8,1921.5,1944.0,1294,161.75,2025-04-15,2025-12-03,65,297,33.142857142857146,1495.5571717171717,132.62410774410776,4.880387931034482,21.309781408699493,17.0,21.0,2025-12-20,OVERDUE
Riverside Station-West Yellowstone,B - Steady Performers,Unassigned,11916.0,13452.0,-1536.0,6,2242.0,2496.0,1134,189.0,2025-05-30,2025-12-02,66,252,37.2,1439.3771428571429,136.98,5.080645161290322,20.46984126984127,16.0,20.0,2025-12-18,OVERDUE
Town Pump - Glendive - 8320-1205,B - Steady Performers,Unassigned,11692.0,11692.0,0.0,7,1670.2857142857142,648.0,986,140.85714285714286,2025-05-20,2026-01-29,8,262,42.333333333333336,1358.4140458015268,114.55664122137404,3.327334083239595,31.256254225828265,25.0,31.0,2026-02-23,Soon (2-4 weeks)
Broulim's Alpine Store,B - Steady Performers,Unassigned,11040.0,11040.0,0.0,9,1226.6666666666667,960.0,931,103.44444444444444,2025-04-21,2026-01-20,17,291,34.25,1154.837113402062,97.38707903780069,3.0202757502027575,34.433941997851775,27.0,34.0,2026-02-16,Urgent (< 2 weeks)
Mike's Market Lava,B - Steady Performers,Unassigned,11028.0,11028.0,0.0,13,848.3076923076923,768.0,929,71.46153846153847,2025-04-11,2026-01-13,24,301,23.083333333333332,1115.2568770764121,93.94936877076412,3.095806720355457,33.59382848941514,27.0,34.0,2026-02-09,Urgent (< 2 weeks)
Town Pump - Bonner #1 - 8500-1070,B - Steady Performers,Unassigned,10884.0,10884.0,0.0,10,1088.4,648.0,916,91.6,2025-04-09,2026-01-29,8,303,32.77777777777778,1093.4289108910891,92.02323432343235,2.7945762711864406,37.214944201843764,30.0,37.0,2026-02-28,Soon (2-4 weeks)
