Customer,Segment,Primary_Rep,NetRev,HighVisit,LowVisit,OverallVisit,HighCad,LowCad,TotalVpY,AnnProfit,Velocity
Best Quality Food Mart,D - Low & Slow,Unassigned,1207.5,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,70.5
Oliver Lemons-Sisters,D - Low & Slow,Unassigned,0.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,76.0
Jacobson Lumber,D - Low & Slow,Decker Larson,1224.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,51.5
Templeton Feed and Grain,A - High Velocity,VIEGEAR,22508.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,67.71428571428571
Good2Go #517,D - Low & Slow,Unassigned,1728.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,36.25
Grocery Outlet - Enumclaw WA,B - Steady Performers,Unassigned,4267.6,1.0,2.0,1.0,Weekly,Weekly,289.0,138622.0,35.9
Fast Stop #1161,D - Low & Slow,Unassigned,1725.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,46.5
Fast Stop #1166,B - Steady Performers,Unassigned,2070.0,1.0,1.0,1.0,Weekly,Weekly,365.0,175076.0,89.0
Town Pump (Employee Orders),A - High Velocity,Unassigned,15726.0,2.0,2.0,2.0,Weekly,Weekly,182.5,87538.0,22.469891919711785
Buena Vista Lagrees,D - Low & Slow,Andy Coon,1404.0,2.0,2.0,2.0,Weekly,Weekly,182.5,87538.0,31.5
Shoshone Valley Wide Farm Store,B - Steady Performers,Unassigned,3324.0,2.0,2.0,2.0,Weekly,Weekly,182.5,87538.0,23.333333333333332
Shoshone Shell,B - Steady Performers,Unassigned,3324.0,2.0,2.0,2.0,Weekly,Weekly,182.5,87538.0,23.333333333333332
The Market at Vail,D - Low & Slow,Unassigned,-168.0,2.0,3.0,2.0,Weekly,Weekly,157.2,75403.0,23.25
Dakota Mart Gas - Hot Springs #2,D - Low & Slow,Unassigned,1152.0,3.0,4.0,3.0,Weekly,Weekly,109.0,52283.0,16.166666666666668
Capps Home Building Center,D - Low & Slow,Dale  Becker,1248.0,3.0,4.0,3.0,Weekly,Weekly,109.0,52283.0,17.5
Clearwater River Casino Lodge,D - Low & Slow,Decker Larson,-183.0,2.0,3.0,3.0,Weekly,Weekly,157.2,75403.0,17.625
Good2Go #102,D - Low & Slow,Unassigned,1135.5,3.0,4.0,3.0,Weekly,Weekly,109.0,52283.0,17.8
Grocery Outlet - LaQuinta,B - Steady Performers,Unassigned,3813.6,3.0,4.0,3.0,Weekly,Weekly,109.0,52283.0,16.46153846153846
Town Pump-Parent Company:,B - Steady Performers,VIEGEAR,5581.0,3.0,4.0,4.0,Weekly,Weekly,109.0,52283.0,13.132352941176471
Inspired By Love Hair Salon,B - Steady Performers,Christa VIE,4488.0,3.0,4.0,4.0,Weekly,Weekly,109.0,52283.0,13.5
Tuls Dairies,E - New / One-Time,VIEGEAR,4500.0,5.0,7.0,5.0,Weekly,Weekly,64.3,30842.0,9.717948717948717
Grocery Outlet - Blue Diamond,B - Steady Performers,Unassigned,4721.599999999999,5.0,6.0,5.0,Weekly,Weekly,67.9,32569.0,9.95
Traders,B - Steady Performers,Unassigned,3324.0,4.0,5.0,5.0,Weekly,Weekly,83.6,40100.0,10.0
Grocery Outlet - Independence,B - Steady Performers,Unassigned,2042.9999999999998,6.0,8.0,6.0,Weekly,Bi-weekly,54.5,26141.0,8.181818181818182
Giovanni's Fish Market,B - Steady Performers,VIEGEAR,5301.0,5.0,6.0,6.0,Weekly,Weekly,67.9,32569.0,8.316279069767443
Fast Stop #1139,D - Low & Slow,Unassigned,1352.0,6.0,7.0,7.0,Weekly,Weekly,57.2,27437.0,7.0
Grocery Outlet - Lynden,B - Steady Performers,Unassigned,4267.599999999999,7.0,8.0,7.0,Weekly,Bi-weekly,49.4,23695.0,7.826086956521739
Fairbank Equipment,E - New / One-Time,VIEGEAR,4896.0,6.0,8.0,7.0,Weekly,Bi-weekly,54.5,26141.0,7.773584905660377
Grocery Outlet - Ashland,E - New / One-Time,Unassigned,2338.1,7.0,10.0,8.0,Weekly,Bi-weekly,45.6,21872.0,6.354838709677419
Avimor,B - Steady Performers,VIEGEAR,2011.4299999999998,7.0,8.0,8.0,Weekly,Bi-weekly,49.4,23695.0,6.666666666666666
Mike's Market-Garden City,B - Steady Performers,Unassigned,23854.5,5.0,31.0,8.0,Weekly,Every 1-2 Months,47.5,22784.0,6.683087027914614
Grocery Outlet - Kennewick,E - New / One-Time,Unassigned,2338.1,7.0,10.0,8.0,Weekly,Bi-weekly,45.6,21872.0,6.354838709677419
Grocery Outlet - Grand Terrace,D - Low & Slow,Unassigned,2360.7999999999997,8.0,10.0,8.0,Bi-weekly,Bi-weekly,41.8,20050.0,6.633333333333333
Valley Country Store Preston,B - Steady Performers,Unassigned,1440.0,8.0,9.0,9.0,Bi-weekly,Bi-weekly,43.5,20865.0,5.527777777777778
Grocery Outlet - City Heights,D - Low & Slow,Unassigned,2088.4,9.0,11.0,9.0,Bi-weekly,Bi-weekly,37.5,17987.0,5.9
Grocery Outlet - Lake Stevens,B - Steady Performers,Unassigned,3654.7,10.0,12.0,10.0,Bi-weekly,Bi-weekly,34.0,16308.0,5.310344827586207
Riverside Station-West Yellowstone,B - Steady Performers,Unassigned,11916.0,9.0,13.0,10.0,Bi-weekly,Bi-weekly,35.4,16980.0,5.080645161290322
The Border Store - Hildale,D - Low & Slow,Andy Coon,1512.0,9.0,10.0,10.0,Bi-weekly,Bi-weekly,38.9,18659.0,4.96875
Cedar Crest Chevron,E - New / One-Time,InHouse Orders,1536.0,8.0,12.0,10.0,Bi-weekly,Bi-weekly,39.3,18851.0,5.413043478260869
Florist Farms,B - Steady Performers,Christa VIE,4315.0,9.0,11.0,11.0,Bi-weekly,Bi-weekly,37.5,17987.0,4.653846153846154
Grocery Outlet - Westminster,E - New / One-Time,Unassigned,2360.7999999999997,9.0,14.0,11.0,Bi-weekly,Bi-weekly,34.6,16596.0,4.738095238095238
Last Chance C Store - Island Park,B - Steady Performers,Lamar Helm,14592.0,10.0,13.0,11.0,Bi-weekly,Bi-weekly,33.0,15829.0,4.880387931034482
Stage Stop - Island Park,B - Steady Performers,Lamar Helm,4623.0,12.0,15.0,12.0,Bi-weekly,Monthly,27.9,13383.0,4.258928571428571
